"filename", "language", "CSS", "HTML", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\favicons\browserconfig.xml", "XML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\favicons\safari-pinned-tab.svg", "XML", 0, 0, 71, 0, 0, 1, 72
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\favicons\site.webmanifest", "JSON", 0, 0, 0, 14, 0, 1, 15
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\Password\OmisRezept\css\style.css", "CSS", 101, 0, 0, 0, 4, 19, 124
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\Password\OmisRezept\index.html", "HTML", 0, 52, 0, 0, 0, 4, 56
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\Password\index.html", "HTML", 0, 64, 0, 0, 0, 6, 70
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\Password\style.css", "CSS", 90, 0, 0, 0, 0, 13, 103
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\css\style.css", "CSS", 123, 0, 0, 0, 5, 19, 147
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\falsch.html", "HTML", 0, 33, 0, 0, 0, 2, 35
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\frage1.html", "HTML", 0, 55, 0, 0, 0, 3, 58
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\frage2.html", "HTML", 0, 55, 0, 0, 0, 3, 58
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\frage3.html", "HTML", 0, 55, 0, 0, 0, 3, 58
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\frage4.html", "HTML", 0, 55, 0, 0, 0, 3, 58
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\fragen\frage5.html", "HTML", 0, 55, 0, 0, 0, 3, 58
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\index.html", "HTML", 0, 26, 0, 0, 0, 1, 27
"c:\Users\Tom\Documents\GitHub\GMV-InfoProjekt-HTML\v2\style.css", "CSS", 51, 0, 0, 0, 0, 7, 58
"Total", "-", 365, 450, 80, 14, 9, 89, 1007
